acsr_nm,day_type,hour,stage0_zr,stage1_zr,stage2_zr,final_stage,exp_count,act_count,n_zero_baseline,n_total_baseline,baseline_median
구지4R-북(남향),평일,00,0.0000,-,-,0,44,44,0,65,10.0
구지4R-북(남향),평일,01,0.0000,-,-,0,44,44,0,64,6.0
구지4R-북(남향),평일,02,0.0000,-,-,0,44,44,0,64,5.0
구지4R-북(남향),평일,03,0.0000,-,-,0,44,44,2,64,4.0
구지4R-북(남향),평일,04,0.0000,-,-,0,44,44,0,65,10.0
구지4R-북(남향),평일,05,0.0000,-,-,0,44,44,0,65,25.0
구지4R-북(남향),평일,06,0.0000,-,-,0,44,44,0,65,51.0
구지4R-북(남향),평일,07,0.0000,-,-,0,44,44,0,65,69.0
구지4R-북(남향),평일,08,0.0000,-,-,0,44,44,0,65,134.0
구지4R-북(남향),평일,09,0.0000,-,-,0,44,44,0,65,106.5
구지4R-북(남향),평일,10,0.0000,-,-,0,44,44,0,65,91.0
구지4R-북(남향),평일,11,0.0000,-,-,0,44,44,0,65,96.0
구지4R-북(남향),평일,12,0.0000,-,-,0,44,44,0,65,105.5
구지4R-북(남향),평일,13,0.0000,-,-,0,44,44,0,65,98.0
구지4R-북(남향),평일,14,0.0000,-,-,0,44,44,0,65,90.0
구지4R-북(남향),평일,15,0.0000,-,-,0,44,44,0,65,89.0
구지4R-북(남향),평일,16,0.0000,-,-,0,44,44,0,65,99.0
구지4R-북(남향),평일,17,0.0000,-,-,0,44,44,0,65,97.0
구지4R-북(남향),평일,18,0.0000,-,-,0,44,44,0,65,94.0
구지4R-북(남향),평일,19,0.0000,-,-,0,44,44,0,65,76.0
구지4R-북(남향),평일,20,0.0000,-,-,0,44,44,0,65,53.0
구지4R-북(남향),평일,21,0.0000,-,-,0,44,44,0,65,44.0
구지4R-북(남향),평일,22,0.0000,-,-,0,44,44,0,65,30.0
구지4R-북(남향),평일,23,0.0000,-,-,0,44,44,0,65,21.0
구지4R-북(남향),토요일,00,0.0000,-,-,0,8,8,0,12,15.0
구지4R-북(남향),토요일,01,0.0000,-,-,0,8,8,0,12,7.0
구지4R-북(남향),토요일,02,0.0000,-,-,0,8,8,0,12,7.0
구지4R-북(남향),토요일,03,0.0000,-,-,0,8,8,0,12,4.0
구지4R-북(남향),토요일,04,0.0000,-,-,0,8,8,0,12,6.5
구지4R-북(남향),토요일,05,0.0000,-,-,0,8,8,0,12,15.5
구지4R-북(남향),토요일,06,0.0000,-,-,0,8,8,0,12,29.0
구지4R-북(남향),토요일,07,0.0000,-,-,0,8,8,0,12,35.5
구지4R-북(남향),토요일,08,0.0000,-,-,0,8,8,0,12,63.0
구지4R-북(남향),토요일,09,0.0000,-,-,0,8,8,0,12,90.0
구지4R-북(남향),토요일,10,0.0000,-,-,0,8,8,0,12,83.0
구지4R-북(남향),토요일,11,0.0000,-,-,0,8,8,0,12,97.0
구지4R-북(남향),토요일,12,0.0000,-,-,0,8,8,0,12,108.5
구지4R-북(남향),토요일,13,0.0000,-,-,0,8,8,0,12,103.0
구지4R-북(남향),토요일,14,0.0000,-,-,0,8,8,0,12,98.0
구지4R-북(남향),토요일,15,0.0000,-,-,0,8,8,0,12,83.5
구지4R-북(남향),토요일,16,0.0000,-,-,0,8,8,0,12,83.5
