acsr_nm,day_type,hour,stage0_zr,stage1_zr,stage2_zr,final_stage,exp_count,act_count,n_zero_baseline,n_total_baseline,baseline_median
멀뫼사거리-동 (서향),평일,00,0.1951,-,-,0,41,33,0,54,82.5
멀뫼사거리-동 (서향),평일,00,0.4762,-,-,0,42,22,0,22,78.0
멀뫼사거리-동 (서향),평일,00,0.1364,-,-,0,44,38,0,38,94.0
멀뫼사거리-동 (서향),평일,01,0.1951,-,-,0,41,33,0,54,70.0
멀뫼사거리-동 (서향),평일,01,0.4762,-,-,0,42,22,0,22,63.5
멀뫼사거리-동 (서향),평일,01,0.1364,-,-,0,44,38,0,38,76.0
멀뫼사거리-동 (서향),평일,02,0.1951,-,-,0,41,33,0,54,62.0
멀뫼사거리-동 (서향),평일,02,0.4762,-,-,0,42,22,0,22,62.0
멀뫼사거리-동 (서향),평일,02,0.1364,-,-,0,44,38,0,38,63.0
멀뫼사거리-동 (서향),평일,03,0.1951,-,-,0,41,33,0,54,51.0
멀뫼사거리-동 (서향),평일,03,0.4762,-,-,0,42,22,0,22,55.5
멀뫼사거리-동 (서향),평일,03,0.1364,-,-,0,44,38,0,38,60.0
멀뫼사거리-동 (서향),평일,04,0.2195,-,-,0,41,32,0,53,65.0
멀뫼사거리-동 (서향),평일,04,0.4762,-,-,0,42,22,0,22,68.0
멀뫼사거리-동 (서향),평일,04,0.1364,-,-,0,44,38,0,38,84.0
멀뫼사거리-동 (서향),평일,05,0.2195,-,-,0,41,32,0,53,121.0
멀뫼사거리-동 (서향),평일,05,0.4762,-,-,0,42,22,0,22,111.0
멀뫼사거리-동 (서향),평일,05,0.1364,-,-,0,44,38,0,38,157.0
멀뫼사거리-동 (서향),평일,06,0.2195,-,-,0,41,32,0,53,193.0
멀뫼사거리-동 (서향),평일,06,0.4762,-,-,0,42,22,0,22,182.0
멀뫼사거리-동 (서향),평일,06,0.1364,-,-,0,44,38,0,38,227.5
멀뫼사거리-동 (서향),평일,07,0.2195,-,-,0,41,32,0,53,289.0
멀뫼사거리-동 (서향),평일,07,0.4762,-,-,0,42,22,0,22,315.0
멀뫼사거리-동 (서향),평일,07,0.1364,-,-,0,44,38,0,38,319.0
멀뫼사거리-동 (서향),평일,08,0.2195,-,-,0,41,32,1,53,422.0
멀뫼사거리-동 (서향),평일,08,0.4762,-,-,0,42,22,0,22,452.0
멀뫼사거리-동 (서향),평일,08,0.1364,-,-,0,44,38,0,38,457.0
멀뫼사거리-동 (서향),평일,09,0.2439,-,-,0,41,31,0,52,378.0
멀뫼사거리-동 (서향),평일,09,0.4762,-,-,0,42,22,0,22,389.0
멀뫼사거리-동 (서향),평일,09,0.1364,-,-,0,44,38,0,38,379.0
멀뫼사거리-동 (서향),평일,10,0.2439,-,-,0,41,31,0,51,320.0
멀뫼사거리-동 (서향),평일,10,0.5000,-,-,0,42,21,0,21,319.0
멀뫼사거리-동 (서향),평일,10,0.0909,-,-,0,44,40,0,40,333.0
멀뫼사거리-동 (서향),평일,11,0.2439,-,-,0,41,31,0,51,306.0
멀뫼사거리-동 (서향),평일,11,0.4762,-,-,0,42,22,0,22,311.0
멀뫼사거리-동 (서향),평일,11,0.0909,-,-,0,44,40,0,40,315.0
멀뫼사거리-동 (서향),평일,12,0.2195,-,-,0,41,32,0,51,297.0
멀뫼사거리-동 (서향),평일,12,0.4762,-,-,0,42,22,0,22,311.0
멀뫼사거리-동 (서향),평일,12,0.0909,-,-,0,44,40,0,40,286.5
멀뫼사거리-동 (서향),평일,13,0.2195,-,-,0,41,32,0,52,319.0
멀뫼사거리-동 (서향),평일,13,0.4762,-,-,0,42,22,0,22,326.0
멀뫼사거리-동 (서향),평일,13,0.0909,-,-,0,44,40,0,40,313.5
멀뫼사거리-동 (서향),평일,14,0.2195,-,-,0,41,32,0,51,319.0
멀뫼사거리-동 (서향),평일,14,0.4762,-,-,0,42,22,0,22,314.0
멀뫼사거리-동 (서향),평일,14,0.0909,-,-,0,44,40,0,40,307.0
멀뫼사거리-동 (서향),평일,15,0.1951,-,-,0,41,33,0,52,329.0
멀뫼사거리-동 (서향),평일,15,0.5000,-,-,0,42,21,0,21,335.0
멀뫼사거리-동 (서향),평일,15,0.0909,-,-,0,44,40,0,40,329.0
멀뫼사거리-동 (서향),평일,16,0.2195,-,-,0,41,32,0,52,363.0
멀뫼사거리-동 (서향),평일,16,0.4762,-,-,0,42,22,0,22,367.0
멀뫼사거리-동 (서향),평일,16,0.1136,-,-,0,44,39,0,39,374.0
멀뫼사거리-동 (서향),평일,17,0.2683,-,-,0,41,30,0,51,425.0
멀뫼사거리-동 (서향),평일,17,0.4762,-,-,0,42,22,0,22,426.0
멀뫼사거리-동 (서향),평일,17,0.1136,-,-,0,44,39,0,39,424.5
멀뫼사거리-동 (서향),평일,18,0.2683,-,-,0,41,30,0,51,397.5
멀뫼사거리-동 (서향),평일,18,0.4762,-,-,0,42,22,0,22,445.0
멀뫼사거리-동 (서향),평일,18,0.1136,-,-,0,44,39,0,39,459.0
멀뫼사거리-동 (서향),평일,19,0.2683,-,-,0,41,30,0,51,246.0
멀뫼사거리-동 (서향),평일,19,0.4762,-,-,0,42,22,0,22,213.0
멀뫼사거리-동 (서향),평일,19,0.1136,-,-,0,44,39,0,39,265.0
멀뫼사거리-동 (서향),평일,20,0.2683,-,-,0,41,30,0,51,202.0
멀뫼사거리-동 (서향),평일,20,0.4762,-,-,0,42,22,0,22,167.5
멀뫼사거리-동 (서향),평일,20,0.1136,-,-,0,44,39,0,39,208.0
멀뫼사거리-동 (서향),평일,21,0.2683,-,-,0,41,30,1,51,176.5
멀뫼사거리-동 (서향),평일,21,0.4762,-,-,0,42,22,0,22,135.5
멀뫼사거리-동 (서향),평일,21,0.1136,-,-,0,44,39,0,39,188.0
멀뫼사거리-동 (서향),평일,22,0.2927,-,-,0,41,29,0,50,129.0
멀뫼사거리-동 (서향),평일,22,0.4762,-,-,0,42,22,0,22,116.0
멀뫼사거리-동 (서향),평일,22,0.1136,-,-,0,44,39,0,39,151.0
멀뫼사거리-동 (서향),평일,23,0.2927,-,-,0,41,29,0,50,112.0
멀뫼사거리-동 (서향),평일,23,0.4762,-,-,0,42,22,0,22,91.0
멀뫼사거리-동 (서향),평일,23,0.1136,-,-,0,44,39,0,39,121.0
멀뫼사거리-동 (서향),토요일,00,0.0000,-,-,0,8,8,0,13,126.0
멀뫼사거리-동 (서향),토요일,00,0.4000,-,-,0,10,6,0,6,108.0
멀뫼사거리-동 (서향),토요일,00,0.0000,-,-,0,8,8,0,8,132.5
멀뫼사거리-동 (서향),토요일,01,0.0000,-,-,0,8,8,0,13,105.0
멀뫼사거리-동 (서향),토요일,01,0.4000,-,-,0,10,6,0,6,95.5
멀뫼사거리-동 (서향),토요일,01,0.0000,-,-,0,8,8,0,8,109.5
멀뫼사거리-동 (서향),토요일,02,0.0000,-,-,0,8,8,0,13,79.0
멀뫼사거리-동 (서향),토요일,02,0.4000,-,-,0,10,6,0,6,81.5
멀뫼사거리-동 (서향),토요일,02,0.0000,-,-,0,8,8,0,8,96.0
멀뫼사거리-동 (서향),토요일,03,0.0000,-,-,0,8,8,0,13,72.0
멀뫼사거리-동 (서향),토요일,03,0.4000,-,-,0,10,6,0,6,75.5
멀뫼사거리-동 (서향),토요일,03,0.0000,-,-,0,8,8,0,8,80.5
멀뫼사거리-동 (서향),토요일,04,0.0000,-,-,0,8,8,0,13,74.0
멀뫼사거리-동 (서향),토요일,04,0.4000,-,-,0,10,6,0,6,75.0
멀뫼사거리-동 (서향),토요일,04,0.0000,-,-,0,8,8,0,8,87.5
멀뫼사거리-동 (서향),토요일,05,0.0000,-,-,0,8,8,0,13,113.0
멀뫼사거리-동 (서향),토요일,05,0.4000,-,-,0,10,6,0,6,108.0
멀뫼사거리-동 (서향),토요일,05,0.0000,-,-,0,8,8,0,8,146.0
멀뫼사거리-동 (서향),토요일,06,0.0000,-,-,0,8,8,0,13,142.0
멀뫼사거리-동 (서향),토요일,06,0.4000,-,-,0,10,6,0,6,146.5
멀뫼사거리-동 (서향),토요일,06,0.0000,-,-,0,8,8,0,8,177.5
멀뫼사거리-동 (서향),토요일,07,0.0000,-,-,0,8,8,0,13,173.0
멀뫼사거리-동 (서향),토요일,07,0.4000,-,-,0,10,6,0,6,194.5
멀뫼사거리-동 (서향),토요일,07,0.0000,-,-,0,8,8,0,8,204.5
멀뫼사거리-동 (서향),토요일,08,0.0000,-,-,0,8,8,0,13,243.0
멀뫼사거리-동 (서향),토요일,08,0.4000,-,-,0,10,6,0,6,238.0
멀뫼사거리-동 (서향),토요일,08,0.0000,-,-,0,8,8,0,8,266.0
멀뫼사거리-동 (서향),토요일,09,0.0000,-,-,0,8,8,0,13,329.0
멀뫼사거리-동 (서향),토요일,09,0.4000,-,-,0,10,6,0,6,322.5
멀뫼사거리-동 (서향),토요일,09,0.0000,-,-,0,8,8,0,8,311.0
멀뫼사거리-동 (서향),토요일,10,0.0000,-,-,0,8,8,0,13,316.0
멀뫼사거리-동 (서향),토요일,10,0.4000,-,-,0,10,6,0,6,-
멀뫼사거리-동 (서향),토요일,10,0.0000,-,-,0,8,8,0,8,315.0
멀뫼사거리-동 (서향),토요일,11,0.0000,-,-,0,8,8,0,13,344.0
멀뫼사거리-동 (서향),토요일,11,0.4000,-,-,0,10,6,0,6,349.5
멀뫼사거리-동 (서향),토요일,11,0.0000,-,-,0,8,8,0,8,349.0
멀뫼사거리-동 (서향),토요일,12,0.0000,-,-,0,8,8,0,13,339.0
멀뫼사거리-동 (서향),토요일,12,0.4000,-,-,0,10,6,0,6,353.0
멀뫼사거리-동 (서향),토요일,12,0.0000,-,-,0,8,8,0,8,328.5
멀뫼사거리-동 (서향),토요일,13,0.0000,-,-,0,8,8,0,13,359.5
멀뫼사거리-동 (서향),토요일,13,0.4000,-,-,0,10,6,0,6,344.0
멀뫼사거리-동 (서향),토요일,13,0.0000,-,-,0,8,8,0,8,328.5
멀뫼사거리-동 (서향),토요일,14,0.0000,-,-,0,8,8,0,13,358.0
멀뫼사거리-동 (서향),토요일,14,0.4000,-,-,0,10,6,0,6,344.5
멀뫼사거리-동 (서향),토요일,14,0.0000,-,-,0,8,8,0,8,311.0
멀뫼사거리-동 (서향),토요일,15,0.0000,-,-,0,8,8,0,13,351.5
멀뫼사거리-동 (서향),토요일,15,0.4000,-,-,0,10,6,0,6,347.0
멀뫼사거리-동 (서향),토요일,15,0.0000,-,-,0,8,8,0,8,312.5
멀뫼사거리-동 (서향),토요일,16,0.0000,-,-,0,8,8,0,12,317.0
멀뫼사거리-동 (서향),토요일,16,0.4000,-,-,0,10,6,0,6,348.5
멀뫼사거리-동 (서향),토요일,16,0.0000,-,-,0,8,8,0,8,314.0
멀뫼사거리-동 (서향),토요일,17,0.0000,-,-,0,8,8,0,12,328.0
멀뫼사거리-동 (서향),토요일,17,0.4000,-,-,0,10,6,0,6,334.5
멀뫼사거리-동 (서향),토요일,17,0.0000,-,-,0,8,8,0,8,320.0
멀뫼사거리-동 (서향),토요일,18,0.0000,-,-,0,8,8,0,12,266.5
멀뫼사거리-동 (서향),토요일,18,0.4000,-,-,0,10,6,0,6,304.0
멀뫼사거리-동 (서향),토요일,18,0.0000,-,-,0,8,8,0,8,255.0
멀뫼사거리-동 (서향),토요일,19,0.0000,-,-,0,8,8,0,12,215.0
멀뫼사거리-동 (서향),토요일,19,0.4000,-,-,0,10,6,0,6,197.0
멀뫼사거리-동 (서향),토요일,19,0.0000,-,-,0,8,8,0,8,209.5
멀뫼사거리-동 (서향),토요일,20,0.0000,-,-,0,8,8,0,12,197.0
멀뫼사거리-동 (서향),토요일,20,0.4000,-,-,0,10,6,0,6,164.0
멀뫼사거리-동 (서향),토요일,20,0.0000,-,-,0,8,8,0,8,206.0
멀뫼사거리-동 (서향),토요일,21,0.0000,-,-,0,8,8,0,12,193.0
멀뫼사거리-동 (서향),토요일,21,0.4000,-,-,0,10,6,0,6,160.0
멀뫼사거리-동 (서향),토요일,21,0.0000,-,-,0,8,8,0,8,181.0
멀뫼사거리-동 (서향),토요일,22,0.0000,-,-,0,8,8,0,12,149.5
멀뫼사거리-동 (서향),토요일,22,0.4000,-,-,0,10,6,0,6,120.5
멀뫼사거리-동 (서향),토요일,22,0.0000,-,-,0,8,8,0,8,150.5
멀뫼사거리-동 (서향),토요일,23,0.0000,-,-,0,8,8,0,12,138.0
멀뫼사거리-동 (서향),토요일,23,0.4000,-,-,0,10,6,0,6,108.5
멀뫼사거리-동 (서향),토요일,23,0.0000,-,-,0,8,8,0,8,126.0
멀뫼사거리-동 (서향),일·공휴일,00,0.0000,-,-,0,8,8,0,13,124.0
멀뫼사거리-동 (서향),일·공휴일,00,0.2000,-,-,0,10,8,0,8,106.5
멀뫼사거리-동 (서향),일·공휴일,00,0.0000,-,-,0,8,8,0,8,106.0
멀뫼사거리-동 (서향),일·공휴일,01,0.0000,-,-,0,8,8,0,13,110.0
멀뫼사거리-동 (서향),일·공휴일,01,0.2000,-,-,0,10,8,0,8,95.5
멀뫼사거리-동 (서향),일·공휴일,01,0.0000,-,-,0,8,8,0,8,111.5
멀뫼사거리-동 (서향),일·공휴일,02,0.0000,-,-,0,8,8,0,13,108.0
멀뫼사거리-동 (서향),일·공휴일,02,0.2000,-,-,0,10,8,0,8,91.0
멀뫼사거리-동 (서향),일·공휴일,02,0.0000,-,-,0,8,8,0,8,89.5
멀뫼사거리-동 (서향),일·공휴일,03,0.0000,-,-,0,8,8,0,13,69.0
멀뫼사거리-동 (서향),일·공휴일,03,0.2000,-,-,0,10,8,0,8,66.0
멀뫼사거리-동 (서향),일·공휴일,03,0.0000,-,-,0,8,8,0,8,74.0
멀뫼사거리-동 (서향),일·공휴일,04,0.0000,-,-,0,8,8,0,13,54.0
멀뫼사거리-동 (서향),일·공휴일,04,0.2000,-,-,0,10,8,0,8,67.0
멀뫼사거리-동 (서향),일·공휴일,04,0.0000,-,-,0,8,8,0,8,68.5
멀뫼사거리-동 (서향),일·공휴일,05,0.0000,-,-,0,8,8,0,13,79.0
멀뫼사거리-동 (서향),일·공휴일,05,0.2000,-,-,0,10,8,0,8,68.0
멀뫼사거리-동 (서향),일·공휴일,05,0.0000,-,-,0,8,8,0,8,95.0
멀뫼사거리-동 (서향),일·공휴일,06,0.0000,-,-,0,8,8,0,13,97.0
멀뫼사거리-동 (서향),일·공휴일,06,0.2000,-,-,0,10,8,0,8,113.0
멀뫼사거리-동 (서향),일·공휴일,06,0.0000,-,-,0,8,8,0,8,131.5
멀뫼사거리-동 (서향),일·공휴일,07,0.0000,-,-,0,8,8,0,13,119.0
멀뫼사거리-동 (서향),일·공휴일,07,0.2000,-,-,0,10,8,0,8,122.0
멀뫼사거리-동 (서향),일·공휴일,07,0.0000,-,-,0,8,8,0,8,138.5
멀뫼사거리-동 (서향),일·공휴일,08,0.0000,-,-,0,8,8,0,13,176.0
멀뫼사거리-동 (서향),일·공휴일,08,0.2000,-,-,0,10,8,0,8,176.0
멀뫼사거리-동 (서향),일·공휴일,08,0.0000,-,-,0,8,8,0,8,195.0
멀뫼사거리-동 (서향),일·공휴일,09,0.0000,-,-,0,8,8,0,13,239.5
멀뫼사거리-동 (서향),일·공휴일,09,0.2000,-,-,0,10,8,0,8,242.5
멀뫼사거리-동 (서향),일·공휴일,09,0.0000,-,-,0,8,8,0,8,244.5
