acsr_nm,day_type,hour,stage0_zr,stage1_zr,stage2_zr,final_stage,exp_count,act_count,n_zero_baseline,n_total_baseline,baseline_median
서촌사거리-동 (서향),평일,00,0.0476,-,-,0,42,40,0,40,42.0
서촌사거리-동 (서향),평일,00,0.2727,-,-,0,44,32,0,32,20.0
서촌사거리-동 (서향),평일,01,0.0238,-,-,0,42,41,0,41,28.0
서촌사거리-동 (서향),평일,01,0.2955,-,-,0,44,31,0,31,14.0
서촌사거리-동 (서향),평일,02,0.0238,-,-,0,42,41,0,41,24.0
서촌사거리-동 (서향),평일,02,0.2955,-,-,0,44,31,0,31,6.0
서촌사거리-동 (서향),평일,03,0.0238,-,-,0,42,41,0,41,24.0
서촌사거리-동 (서향),평일,03,0.2955,-,-,0,44,31,0,31,5.0
서촌사거리-동 (서향),평일,04,0.0238,-,-,0,42,41,0,41,29.0
서촌사거리-동 (서향),평일,04,0.2955,-,-,0,44,31,0,31,8.0
서촌사거리-동 (서향),평일,05,0.0238,-,-,0,42,41,0,41,49.0
서촌사거리-동 (서향),평일,05,0.2955,-,-,0,44,31,0,31,11.0
서촌사거리-동 (서향),평일,06,0.0238,-,-,0,42,41,0,41,114.0
서촌사거리-동 (서향),평일,06,0.2955,-,-,0,44,31,0,31,27.0
서촌사거리-동 (서향),평일,07,0.0238,-,-,0,42,41,0,41,149.0
서촌사거리-동 (서향),평일,07,0.2955,-,-,0,44,31,0,31,65.0
서촌사거리-동 (서향),평일,08,0.0000,-,-,0,42,42,0,42,224.5
서촌사거리-동 (서향),평일,08,0.2955,-,-,0,44,31,0,31,109.0
서촌사거리-동 (서향),평일,09,0.0000,-,-,0,42,42,0,42,134.0
서촌사거리-동 (서향),평일,09,0.2955,-,-,0,44,31,0,31,80.5
서촌사거리-동 (서향),평일,10,0.0238,-,-,0,42,41,0,41,69.0
서촌사거리-동 (서향),평일,10,0.2955,-,-,0,44,31,0,31,62.0
서촌사거리-동 (서향),평일,11,0.0000,-,-,0,42,42,0,42,187.0
서촌사거리-동 (서향),평일,11,0.2955,-,-,0,44,31,0,31,60.0
서촌사거리-동 (서향),평일,12,0.0000,-,-,0,42,42,0,42,207.0
서촌사거리-동 (서향),평일,12,0.2955,-,-,0,44,31,0,31,63.0
서촌사거리-동 (서향),평일,13,0.0000,-,-,0,42,42,0,42,220.0
서촌사거리-동 (서향),평일,13,0.2955,-,-,0,44,31,0,31,65.0
서촌사거리-동 (서향),평일,14,0.0000,-,-,0,42,42,0,42,234.0
서촌사거리-동 (서향),평일,14,0.2955,-,-,0,44,31,0,31,68.0
서촌사거리-동 (서향),평일,15,0.0238,-,-,0,42,41,0,41,81.0
서촌사거리-동 (서향),평일,15,0.2727,-,-,0,44,32,0,32,70.0
서촌사거리-동 (서향),평일,16,0.0000,-,-,0,42,42,0,42,283.5
서촌사거리-동 (서향),평일,16,0.2727,-,-,0,44,32,0,32,74.0
서촌사거리-동 (서향),평일,17,0.0000,-,-,0,42,42,0,42,365.0
서촌사거리-동 (서향),평일,17,0.2727,-,-,0,44,32,0,32,90.5
서촌사거리-동 (서향),평일,18,0.0000,-,-,0,42,42,0,42,210.0
서촌사거리-동 (서향),평일,18,0.2727,-,-,0,44,32,0,32,112.0
서촌사거리-동 (서향),평일,19,0.0000,-,-,0,42,42,0,42,120.0
서촌사거리-동 (서향),평일,19,0.2727,-,-,0,44,32,0,32,79.0
서촌사거리-동 (서향),평일,20,0.0000,-,-,0,42,42,0,42,90.0
서촌사거리-동 (서향),평일,20,0.2727,-,-,0,44,32,0,32,54.0
서촌사거리-동 (서향),평일,21,0.0000,-,-,0,42,42,0,42,153.5
서촌사거리-동 (서향),평일,21,0.2727,-,-,0,44,32,0,32,42.5
