acsr_nm,day_type,hour,stage0_zr,stage1_zr,stage2_zr,final_stage,exp_count,act_count,n_zero_baseline,n_total_baseline,baseline_median
송내사거리-동 (서향),일·공휴일,00,0.0000,-,-,0,10,10,0,18,423.0
송내사거리-동 (서향),일·공휴일,01,0.0000,-,-,0,10,10,0,18,332.0
송내사거리-동 (서향),일·공휴일,02,0.0000,-,-,0,10,10,0,18,271.0
송내사거리-동 (서향),일·공휴일,03,0.0000,-,-,0,10,10,0,18,207.0
송내사거리-동 (서향),일·공휴일,04,0.0000,-,-,0,10,10,0,18,218.0
송내사거리-동 (서향),일·공휴일,05,0.0000,-,-,0,10,10,0,18,326.0
송내사거리-동 (서향),일·공휴일,06,0.0000,-,-,0,10,10,0,18,393.0
송내사거리-동 (서향),일·공휴일,07,0.0000,-,-,0,10,10,0,18,464.0
송내사거리-동 (서향),일·공휴일,08,0.0000,-,-,0,10,10,0,18,680.5
송내사거리-동 (서향),일·공휴일,09,0.0000,-,-,0,10,10,0,18,897.0
송내사거리-동 (서향),일·공휴일,10,0.0000,-,-,0,10,10,0,18,1111.5
송내사거리-동 (서향),일·공휴일,11,0.0000,-,-,0,10,10,0,18,1165.0
송내사거리-동 (서향),일·공휴일,12,0.0000,-,-,0,10,10,0,18,1230.0
송내사거리-동 (서향),일·공휴일,13,0.0000,-,-,0,10,10,0,18,1326.0
송내사거리-동 (서향),일·공휴일,14,0.0000,-,-,0,10,10,0,18,1281.0
송내사거리-동 (서향),일·공휴일,15,0.0000,-,-,0,10,10,0,18,1268.0
송내사거리-동 (서향),일·공휴일,16,0.0000,-,-,0,10,10,0,18,1166.0
송내사거리-동 (서향),일·공휴일,17,0.0000,-,-,0,10,10,0,18,1100.5
송내사거리-동 (서향),일·공휴일,18,0.0000,-,-,0,10,10,0,18,1039.5
송내사거리-동 (서향),일·공휴일,19,0.0000,-,-,0,10,10,0,18,911.0
송내사거리-동 (서향),일·공휴일,20,0.0000,-,-,0,10,10,0,18,786.5
송내사거리-동 (서향),일·공휴일,21,0.0000,-,-,0,10,10,0,18,672.5
송내사거리-동 (서향),일·공휴일,22,0.0000,-,-,0,10,10,0,18,524.0
송내사거리-동 (서향),일·공휴일,23,0.0000,-,-,0,10,10,0,18,363.0
송내사거리-서 (동향),일·공휴일,00,0.0000,-,-,0,10,10,0,18,478.0
송내사거리-서 (동향),일·공휴일,01,0.0000,-,-,0,10,10,0,18,361.5
송내사거리-서 (동향),일·공휴일,02,0.0000,-,-,0,10,10,0,18,270.0
송내사거리-서 (동향),일·공휴일,03,0.0000,-,-,0,10,10,0,18,208.0
송내사거리-서 (동향),일·공휴일,04,0.0000,-,-,0,10,10,0,18,216.5
송내사거리-서 (동향),일·공휴일,05,0.0000,-,-,0,10,10,0,18,264.5
송내사거리-서 (동향),일·공휴일,06,0.0000,-,-,0,10,10,0,18,336.0
송내사거리-서 (동향),일·공휴일,07,0.0000,-,-,0,10,10,0,18,437.0
송내사거리-서 (동향),일·공휴일,08,0.0000,-,-,0,10,10,0,18,691.0
송내사거리-서 (동향),일·공휴일,09,0.0000,-,-,0,10,10,0,18,1006.5
송내사거리-서 (동향),일·공휴일,10,0.0000,-,-,0,10,10,0,18,1233.0
송내사거리-서 (동향),일·공휴일,11,0.0000,-,-,0,10,10,0,18,1157.0
송내사거리-서 (동향),일·공휴일,12,0.0000,-,-,0,10,10,0,18,1230.5
송내사거리-서 (동향),일·공휴일,13,0.0000,-,-,0,10,10,0,18,1229.0
송내사거리-서 (동향),일·공휴일,14,0.0000,-,-,0,10,10,0,18,1196.5
