acsr_nm,day_type,hour,stage0_zr,stage1_zr,stage2_zr,final_stage,exp_count,act_count,n_zero_baseline,n_total_baseline,baseline_median
항동중학교입구3R-남(북향),평일,00,0.0435,-,-,0,46,44,0,44,65.0
항동중학교입구3R-남(북향),평일,00,0.0244,-,-,0,41,40,0,76,68.0
항동중학교입구3R-남(북향),평일,01,0.0435,-,-,0,46,44,0,44,43.0
항동중학교입구3R-남(북향),평일,01,0.0244,-,-,0,41,40,0,76,44.0
항동중학교입구3R-남(북향),평일,02,0.0435,-,-,0,46,44,0,44,35.0
항동중학교입구3R-남(북향),평일,02,0.0244,-,-,0,41,40,0,76,34.0
항동중학교입구3R-남(북향),평일,03,0.0435,-,-,0,46,44,0,44,37.0
항동중학교입구3R-남(북향),평일,03,0.0244,-,-,0,41,40,0,76,34.0
항동중학교입구3R-남(북향),평일,04,0.0435,-,-,0,46,44,0,44,85.0
항동중학교입구3R-남(북향),평일,04,0.0244,-,-,0,41,40,0,75,77.5
항동중학교입구3R-남(북향),평일,05,0.0435,-,-,0,46,44,0,44,231.0
항동중학교입구3R-남(북향),평일,05,0.0244,-,-,0,41,40,0,75,189.0
항동중학교입구3R-남(북향),평일,06,0.0435,-,-,0,46,44,0,44,371.0
항동중학교입구3R-남(북향),평일,06,0.0244,-,-,0,41,40,0,75,338.0
항동중학교입구3R-남(북향),평일,07,0.0435,-,-,0,46,44,0,44,544.5
항동중학교입구3R-남(북향),평일,07,0.0244,-,-,0,41,40,0,75,542.0
항동중학교입구3R-남(북향),평일,08,0.0652,-,-,0,46,43,0,43,585.0
항동중학교입구3R-남(북향),평일,08,0.0244,-,-,0,41,40,0,75,575.5
항동중학교입구3R-남(북향),평일,09,0.0435,-,-,0,46,44,0,44,503.0
항동중학교입구3R-남(북향),평일,09,0.0488,-,-,0,41,39,0,74,513.0
항동중학교입구3R-남(북향),평일,10,0.0435,-,-,0,46,44,0,44,428.5
항동중학교입구3R-남(북향),평일,10,0.0488,-,-,0,41,39,0,74,384.0
항동중학교입구3R-남(북향),평일,11,0.0870,-,-,0,46,42,0,42,400.0
항동중학교입구3R-남(북향),평일,11,0.0488,-,-,0,41,39,0,74,353.0
항동중학교입구3R-남(북향),평일,12,0.0652,-,-,0,46,43,0,43,389.0
항동중학교입구3R-남(북향),평일,12,0.0244,-,-,0,41,40,0,75,340.5
항동중학교입구3R-남(북향),평일,13,0.0217,-,-,0,46,45,0,45,416.5
항동중학교입구3R-남(북향),평일,13,0.0244,-,-,0,41,40,0,75,354.0
항동중학교입구3R-남(북향),평일,14,0.0217,-,-,0,46,45,0,45,393.0
항동중학교입구3R-남(북향),평일,14,0.0244,-,-,0,41,40,0,74,357.0
항동중학교입구3R-남(북향),평일,15,0.0435,-,-,0,46,44,0,44,427.0
항동중학교입구3R-남(북향),평일,15,0.0000,-,-,0,41,41,0,77,395.0
항동중학교입구3R-남(북향),평일,16,0.0435,-,-,0,46,44,0,44,491.0
항동중학교입구3R-남(북향),평일,16,0.0000,-,-,0,41,41,0,77,487.0
항동중학교입구3R-남(북향),평일,17,0.0435,-,-,0,46,44,0,44,562.5
항동중학교입구3R-남(북향),평일,17,0.0000,-,-,0,41,41,0,77,563.0
항동중학교입구3R-남(북향),평일,18,0.0435,-,-,0,46,44,0,44,647.0
