날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-04-05,일·공휴일,00,구지4R-북(남향),있음(비0),13,B형 검토,0,0.0000
2026-04-05,일·공휴일,00,구지4R-동(서향),있음(비0),19,B형 검토,0,0.0000
2026-04-05,일·공휴일,00,구지4R-남(북향),있음(비0),14,B형 검토,0,0.0000
2026-04-05,일·공휴일,00,구지4R-서(동향),있음(비0),11,B형 검토,0,0.0000
2026-04-05,일·공휴일,01,구지4R-북(남향),있음(비0),12,B형 검토,0,0.0000
2026-04-05,일·공휴일,01,구지4R-동(서향),있음(비0),16,B형 검토,0,0.0000
2026-04-05,일·공휴일,01,구지4R-남(북향),있음(비0),2,B형 검토,0,0.0000
2026-04-05,일·공휴일,01,구지4R-서(동향),있음(비0),10,B형 검토,0,0.0000
2026-04-05,일·공휴일,02,구지4R-북(남향),있음(비0),2,B형 검토,0,0.0000
2026-04-05,일·공휴일,02,구지4R-동(서향),있음(비0),13,B형 검토,0,0.0000
2026-04-05,일·공휴일,02,구지4R-남(북향),있음(비0),7,B형 검토,0,0.0000
2026-04-05,일·공휴일,02,구지4R-서(동향),있음(비0),6,B형 검토,0,0.0000
2026-04-05,일·공휴일,03,구지4R-북(남향),있음(비0),3,B형 검토,0,0.0000
2026-04-05,일·공휴일,03,구지4R-동(서향),있음(비0),6,B형 검토,0,0.0000
2026-04-05,일·공휴일,03,구지4R-남(북향),있음(비0),4,B형 검토,0,0.1250
2026-04-05,일·공휴일,03,구지4R-서(동향),있음(비0),5,B형 검토,0,0.0000
2026-04-05,일·공휴일,04,구지4R-북(남향),있음(비0),6,B형 검토,0,0.0000
2026-04-05,일·공휴일,04,구지4R-동(서향),있음(비0),5,B형 검토,0,0.0000
2026-04-05,일·공휴일,04,구지4R-남(북향),있음(비0),5,B형 검토,0,0.0000
2026-04-05,일·공휴일,04,구지4R-서(동향),있음(비0),8,B형 검토,0,0.0000
2026-04-05,일·공휴일,05,구지4R-북(남향),있음(비0),7,B형 검토,0,0.0000
2026-04-05,일·공휴일,05,구지4R-동(서향),있음(비0),7,B형 검토,0,0.0000
2026-04-05,일·공휴일,05,구지4R-남(북향),있음(비0),19,B형 검토,0,0.0000
2026-04-05,일·공휴일,05,구지4R-서(동향),있음(비0),16,B형 검토,0,0.0000
2026-04-05,일·공휴일,06,구지4R-북(남향),있음(비0),24,B형 검토,0,0.0000
2026-04-05,일·공휴일,06,구지4R-동(서향),있음(비0),23,B형 검토,0,0.0000
2026-04-05,일·공휴일,06,구지4R-남(북향),있음(비0),26,B형 검토,0,0.0000
2026-04-05,일·공휴일,06,구지4R-서(동향),있음(비0),19,B형 검토,0,0.0000
2026-04-05,일·공휴일,07,구지4R-북(남향),있음(비0),23,B형 검토,0,0.0000
2026-04-05,일·공휴일,07,구지4R-동(서향),있음(비0),19,B형 검토,0,0.0000
2026-04-05,일·공휴일,07,구지4R-남(북향),있음(비0),37,B형 검토,0,0.0000
2026-04-05,일·공휴일,07,구지4R-서(동향),있음(비0),33,B형 검토,0,0.0000
2026-04-05,일·공휴일,08,구지4R-북(남향),있음(비0),46,B형 검토,0,0.0000
2026-04-05,일·공휴일,08,구지4R-동(서향),있음(비0),36,B형 검토,0,0.0000
2026-04-05,일·공휴일,08,구지4R-남(북향),있음(비0),53,B형 검토,0,0.0000
2026-04-05,일·공휴일,08,구지4R-서(동향),있음(비0),50,B형 검토,0,0.0000
2026-04-05,일·공휴일,09,구지4R-북(남향),있음(비0),55,B형 검토,0,0.0000
2026-04-05,일·공휴일,09,구지4R-동(서향),있음(비0),65,B형 검토,0,0.0000
2026-04-05,일·공휴일,09,구지4R-남(북향),있음(비0),66,B형 검토,0,0.0000
2026-04-05,일·공휴일,09,구지4R-서(동향),있음(비0),60,B형 검토,0,0.0000
2026-04-05,일·공휴일,10,구지4R-북(남향),있음(비0),61,B형 검토,0,0.0000
2026-04-05,일·공휴일,10,구지4R-동(서향),있음(비0),72,B형 검토,0,0.0000
2026-04-05,일·공휴일,10,구지4R-남(북향),있음(비0),107,B형 검토,0,0.0000
2026-04-05,일·공휴일,10,구지4R-서(동향),있음(비0),79,B형 검토,0,0.0000
2026-04-05,일·공휴일,11,구지4R-북(남향),있음(비0),70,B형 검토,0,0.0000
2026-04-05,일·공휴일,11,구지4R-동(서향),있음(비0),60,B형 검토,0,0.0000
2026-04-05,일·공휴일,11,구지4R-남(북향),있음(비0),78,B형 검토,0,0.0000
2026-04-05,일·공휴일,11,구지4R-서(동향),있음(비0),58,B형 검토,0,0.0000
2026-04-05,일·공휴일,12,구지4R-북(남향),있음(비0),101,B형 검토,0,0.0000
2026-04-05,일·공휴일,12,구지4R-동(서향),있음(비0),99,B형 검토,0,0.0000
2026-04-05,일·공휴일,12,구지4R-남(북향),있음(비0),105,B형 검토,0,0.0000
2026-04-05,일·공휴일,12,구지4R-서(동향),있음(비0),67,B형 검토,0,0.0000
2026-04-05,일·공휴일,13,구지4R-북(남향),있음(비0),117,B형 검토,0,0.0000
2026-04-05,일·공휴일,13,구지4R-동(서향),있음(비0),95,B형 검토,0,0.0000
2026-04-05,일·공휴일,13,구지4R-남(북향),있음(비0),94,B형 검토,0,0.0000
2026-04-05,일·공휴일,13,구지4R-서(동향),있음(비0),90,B형 검토,0,0.0000
2026-04-05,일·공휴일,14,구지4R-북(남향),있음(비0),80,B형 검토,0,0.0000
2026-04-05,일·공휴일,14,구지4R-동(서향),있음(비0),96,B형 검토,0,0.0000
2026-04-05,일·공휴일,14,구지4R-남(북향),있음(비0),95,B형 검토,0,0.0000
2026-04-05,일·공휴일,14,구지4R-서(동향),있음(비0),87,B형 검토,0,0.0000
2026-04-05,일·공휴일,15,구지4R-북(남향),있음(비0),68,B형 검토,0,0.0000
2026-04-05,일·공휴일,15,구지4R-동(서향),있음(비0),78,B형 검토,0,0.0000
2026-04-05,일·공휴일,15,구지4R-남(북향),있음(비0),108,B형 검토,0,0.0000
2026-04-05,일·공휴일,15,구지4R-서(동향),있음(비0),92,B형 검토,0,0.0000
2026-04-05,일·공휴일,16,구지4R-북(남향),있음(비0),86,B형 검토,0,0.0000
2026-04-05,일·공휴일,16,구지4R-동(서향),있음(비0),84,B형 검토,0,0.0000
2026-04-05,일·공휴일,16,구지4R-남(북향),있음(비0),92,B형 검토,0,0.0000
2026-04-05,일·공휴일,16,구지4R-서(동향),있음(비0),69,B형 검토,0,0.0000
2026-04-05,일·공휴일,17,구지4R-북(남향),있음(비0),88,B형 검토,0,0.0000
2026-04-05,일·공휴일,17,구지4R-동(서향),있음(비0),84,B형 검토,0,0.0000
2026-04-05,일·공휴일,17,구지4R-남(북향),있음(비0),79,B형 검토,0,0.0000
2026-04-05,일·공휴일,17,구지4R-서(동향),있음(비0),55,B형 검토,0,0.0000
