날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-02-07,토요일,00,멀뫼사거리-동 (서향),있음(비0),123,B형 검토,0,0.0000
2026-02-07,토요일,00,멀뫼사거리-서 (동향),있음(비0),257,B형 검토,0,0.0000
2026-02-07,토요일,00,멀뫼4R-남 (북향),있음(비0),414,B형 검토,0,0.0000
2026-02-07,토요일,00,멀뫼사거리-북 (남향),있음(비0),240,B형 검토,0,0.0000
2026-02-07,토요일,01,멀뫼사거리-동 (서향),있음(비0),89,B형 검토,0,0.0000
2026-02-07,토요일,01,멀뫼사거리-서 (동향),있음(비0),193,B형 검토,0,0.0000
2026-02-07,토요일,01,멀뫼4R-남 (북향),있음(비0),296,B형 검토,0,0.0000
2026-02-07,토요일,01,멀뫼사거리-북 (남향),있음(비0),177,B형 검토,0,0.0000
2026-02-07,토요일,02,멀뫼사거리-동 (서향),있음(비0),92,B형 검토,0,0.0000
2026-02-07,토요일,02,멀뫼사거리-서 (동향),있음(비0),195,B형 검토,0,0.0000
2026-02-07,토요일,02,멀뫼4R-남 (북향),있음(비0),226,B형 검토,0,0.0000
2026-02-07,토요일,02,멀뫼사거리-북 (남향),있음(비0),129,B형 검토,0,0.0000
2026-02-07,토요일,03,멀뫼사거리-동 (서향),있음(비0),73,B형 검토,0,0.0000
2026-02-07,토요일,03,멀뫼사거리-서 (동향),있음(비0),129,B형 검토,0,0.0000
2026-02-07,토요일,03,멀뫼4R-남 (북향),있음(비0),182,B형 검토,0,0.0000
2026-02-07,토요일,03,멀뫼사거리-북 (남향),있음(비0),140,B형 검토,0,0.0000
2026-02-07,토요일,04,멀뫼사거리-동 (서향),있음(비0),79,B형 검토,0,0.0000
2026-02-07,토요일,04,멀뫼사거리-서 (동향),있음(비0),160,B형 검토,0,0.0000
2026-02-07,토요일,04,멀뫼4R-남 (북향),있음(비0),239,B형 검토,0,0.0000
2026-02-07,토요일,04,멀뫼사거리-북 (남향),있음(비0),172,B형 검토,0,0.0000
2026-02-07,토요일,05,멀뫼사거리-동 (서향),있음(비0),117,B형 검토,0,0.0000
2026-02-07,토요일,05,멀뫼사거리-서 (동향),있음(비0),247,B형 검토,0,0.0000
2026-02-07,토요일,05,멀뫼4R-남 (북향),있음(비0),466,B형 검토,0,0.0000
2026-02-07,토요일,05,멀뫼사거리-북 (남향),있음(비0),300,B형 검토,0,0.0000
