날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-03-30,평일,00,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0476
2026-03-30,평일,00,서촌사거리-서 (동향),있음(비0),22,B형 검토,0,0.0238
2026-03-30,평일,00,서촌사거리-북 (남향),있음(비0),9,B형 검토,0,0.0238
2026-03-30,평일,01,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-30,평일,01,서촌사거리-서 (동향),있음(비0),18,B형 검토,0,0.0000
2026-03-30,평일,01,서촌사거리-북 (남향),있음(비0),7,B형 검토,0,0.0000
2026-03-30,평일,02,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-30,평일,02,서촌사거리-서 (동향),있음(비0),13,B형 검토,0,0.0000
2026-03-30,평일,02,서촌사거리-북 (남향),있음(비0),1,B형 검토,0,0.0000
2026-03-30,평일,03,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-30,평일,03,서촌사거리-서 (동향),있음(비0),17,B형 검토,0,0.0000
2026-03-30,평일,03,서촌사거리-북 (남향),있음(비0),2,B형 검토,0,0.0000
2026-03-30,평일,04,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-30,평일,04,서촌사거리-서 (동향),있음(비0),31,B형 검토,0,0.0000
2026-03-30,평일,04,서촌사거리-북 (남향),있음(비0),20,B형 검토,0,0.0000
2026-03-30,평일,05,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-30,평일,05,서촌사거리-서 (동향),있음(비0),80,B형 검토,0,0.0000
2026-03-30,평일,05,서촌사거리-북 (남향),있음(비0),31,B형 검토,0,0.0000
2026-03-30,평일,06,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-30,평일,06,서촌사거리-서 (동향),있음(비0),189,B형 검토,0,0.0000
2026-03-30,평일,06,서촌사거리-북 (남향),있음(비0),58,B형 검토,0,0.0000
2026-03-30,평일,07,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-30,평일,07,서촌사거리-서 (동향),있음(비0),374,B형 검토,0,0.0000
2026-03-30,평일,07,서촌사거리-북 (남향),있음(비0),68,B형 검토,0,0.0000
2026-03-30,평일,08,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,08,서촌사거리-서 (동향),있음(비0),623,B형 검토,0,0.0000
2026-03-30,평일,08,서촌사거리-북 (남향),있음(비0),131,B형 검토,0,0.0000
2026-03-30,평일,09,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,09,서촌사거리-서 (동향),있음(비0),456,B형 검토,0,0.0000
2026-03-30,평일,09,서촌사거리-북 (남향),있음(비0),162,B형 검토,0,0.0000
2026-03-30,평일,10,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-30,평일,10,서촌사거리-서 (동향),있음(비0),257,B형 검토,0,0.0238
2026-03-30,평일,10,서촌사거리-북 (남향),있음(비0),155,B형 검토,0,0.0238
2026-03-30,평일,11,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,11,서촌사거리-서 (동향),있음(비0),237,B형 검토,0,0.0000
2026-03-30,평일,11,서촌사거리-북 (남향),있음(비0),149,B형 검토,0,0.0000
2026-03-30,평일,12,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,12,서촌사거리-서 (동향),있음(비0),180,B형 검토,0,0.0000
2026-03-30,평일,12,서촌사거리-북 (남향),있음(비0),162,B형 검토,0,0.0000
2026-03-30,평일,13,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,13,서촌사거리-서 (동향),있음(비0),205,B형 검토,0,0.0000
2026-03-30,평일,13,서촌사거리-북 (남향),있음(비0),170,B형 검토,0,0.0000
2026-03-30,평일,14,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,14,서촌사거리-서 (동향),있음(비0),238,B형 검토,0,0.0000
2026-03-30,평일,14,서촌사거리-북 (남향),있음(비0),160,B형 검토,0,0.0000
2026-03-30,평일,15,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-30,평일,15,서촌사거리-서 (동향),있음(비0),257,B형 검토,0,0.0238
2026-03-30,평일,15,서촌사거리-북 (남향),있음(비0),157,B형 검토,0,0.0238
2026-03-30,평일,16,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,16,서촌사거리-서 (동향),있음(비0),321,B형 검토,0,0.0000
2026-03-30,평일,16,서촌사거리-북 (남향),있음(비0),152,B형 검토,0,0.0000
2026-03-30,평일,17,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,17,서촌사거리-서 (동향),있음(비0),283,B형 검토,0,0.0000
2026-03-30,평일,17,서촌사거리-북 (남향),있음(비0),188,B형 검토,0,0.0000
2026-03-30,평일,18,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
