날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-03-22,일·공휴일,00,송내사거리-동 (서향),있음(비0),425,B형 검토,0,0.0000
2026-03-22,일·공휴일,00,송내사거리-서 (동향),있음(비0),462,B형 검토,0,0.0000
2026-03-22,일·공휴일,00,송내사거리-남 (북향),있음(비0),52,B형 검토,0,0.0000
2026-03-22,일·공휴일,00,송내사거리-북 (남향),있음(비0),179,B형 검토,0,0.0000
2026-03-22,일·공휴일,01,송내사거리-동 (서향),있음(비0),330,B형 검토,0,0.0000
2026-03-22,일·공휴일,01,송내사거리-서 (동향),있음(비0),349,B형 검토,0,0.0000
2026-03-22,일·공휴일,01,송내사거리-남 (북향),있음(비0),46,B형 검토,0,0.0000
2026-03-22,일·공휴일,01,송내사거리-북 (남향),있음(비0),115,B형 검토,0,0.0000
2026-03-22,일·공휴일,02,송내사거리-동 (서향),있음(비0),247,B형 검토,0,0.0000
2026-03-22,일·공휴일,02,송내사거리-서 (동향),있음(비0),249,B형 검토,0,0.0000
2026-03-22,일·공휴일,02,송내사거리-남 (북향),있음(비0),36,B형 검토,0,0.0000
2026-03-22,일·공휴일,02,송내사거리-북 (남향),있음(비0),106,B형 검토,0,0.0000
2026-03-22,일·공휴일,03,송내사거리-동 (서향),있음(비0),221,B형 검토,0,0.0000
2026-03-22,일·공휴일,03,송내사거리-서 (동향),있음(비0),230,B형 검토,0,0.0000
2026-03-22,일·공휴일,03,송내사거리-남 (북향),있음(비0),26,B형 검토,0,0.0000
2026-03-22,일·공휴일,03,송내사거리-북 (남향),있음(비0),92,B형 검토,0,0.0000
2026-03-22,일·공휴일,04,송내사거리-동 (서향),있음(비0),235,B형 검토,0,0.0000
2026-03-22,일·공휴일,04,송내사거리-서 (동향),있음(비0),213,B형 검토,0,0.0000
2026-03-22,일·공휴일,04,송내사거리-남 (북향),있음(비0),23,B형 검토,0,0.0000
2026-03-22,일·공휴일,04,송내사거리-북 (남향),있음(비0),81,B형 검토,0,0.0000
2026-03-22,일·공휴일,05,송내사거리-동 (서향),있음(비0),320,B형 검토,0,0.0000
2026-03-22,일·공휴일,05,송내사거리-서 (동향),있음(비0),270,B형 검토,0,0.0000
2026-03-22,일·공휴일,05,송내사거리-남 (북향),있음(비0),48,B형 검토,0,0.0000
2026-03-22,일·공휴일,05,송내사거리-북 (남향),있음(비0),136,B형 검토,0,0.0000
2026-03-22,일·공휴일,06,송내사거리-동 (서향),있음(비0),365,B형 검토,0,0.0000
2026-03-22,일·공휴일,06,송내사거리-서 (동향),있음(비0),294,B형 검토,0,0.0000
2026-03-22,일·공휴일,06,송내사거리-남 (북향),있음(비0),43,B형 검토,0,0.0000
2026-03-22,일·공휴일,06,송내사거리-북 (남향),있음(비0),218,B형 검토,0,0.0000
2026-03-22,일·공휴일,07,송내사거리-동 (서향),있음(비0),410,B형 검토,0,0.0000
2026-03-22,일·공휴일,07,송내사거리-서 (동향),있음(비0),363,B형 검토,0,0.0000
2026-03-22,일·공휴일,07,송내사거리-남 (북향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,07,송내사거리-북 (남향),있음(비0),3,B형 검토,0,0.0000
2026-03-22,일·공휴일,08,송내사거리-동 (서향),있음(비0),657,B형 검토,0,0.0000
2026-03-22,일·공휴일,08,송내사거리-서 (동향),있음(비0),681,B형 검토,0,0.0000
2026-03-22,일·공휴일,08,송내사거리-남 (북향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,08,송내사거리-북 (남향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,09,송내사거리-동 (서향),있음(비0),895,B형 검토,0,0.0000
2026-03-22,일·공휴일,09,송내사거리-서 (동향),있음(비0),1015,B형 검토,0,0.0000
2026-03-22,일·공휴일,09,송내사거리-남 (북향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,09,송내사거리-북 (남향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,10,송내사거리-동 (서향),있음(비0),1118,B형 검토,0,0.0000
2026-03-22,일·공휴일,10,송내사거리-서 (동향),있음(비0),1154,B형 검토,0,0.0000
2026-03-22,일·공휴일,10,송내사거리-남 (북향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,10,송내사거리-북 (남향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,11,송내사거리-동 (서향),있음(비0),1154,B형 검토,0,0.0000
2026-03-22,일·공휴일,11,송내사거리-서 (동향),있음(비0),1122,B형 검토,0,0.0000
2026-03-22,일·공휴일,11,송내사거리-남 (북향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,11,송내사거리-북 (남향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,12,송내사거리-동 (서향),있음(비0),1216,B형 검토,0,0.0000
2026-03-22,일·공휴일,12,송내사거리-서 (동향),있음(비0),1160,B형 검토,0,0.0000
2026-03-22,일·공휴일,12,송내사거리-남 (북향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,12,송내사거리-북 (남향),없음(NULL),,A형 가능,0,0.0000
2026-03-22,일·공휴일,13,송내사거리-동 (서향),있음(비0),1252,B형 검토,0,0.0000
2026-03-22,일·공휴일,13,송내사거리-서 (동향),있음(비0),1173,B형 검토,0,0.0000
2026-03-22,일·공휴일,13,송내사거리-남 (북향),있음(비0),92,B형 검토,0,0.0000
2026-03-22,일·공휴일,13,송내사거리-북 (남향),있음(비0),370,B형 검토,0,0.0000
2026-03-22,일·공휴일,14,송내사거리-동 (서향),있음(비0),1245,B형 검토,0,0.0000
2026-03-22,일·공휴일,14,송내사거리-서 (동향),있음(비0),1140,B형 검토,0,0.0000
2026-03-22,일·공휴일,14,송내사거리-남 (북향),있음(비0),223,B형 검토,0,0.0000
2026-03-22,일·공휴일,14,송내사거리-북 (남향),있음(비0),779,B형 검토,0,0.0000
2026-03-22,일·공휴일,15,송내사거리-동 (서향),있음(비0),1249,B형 검토,0,0.0000
2026-03-22,일·공휴일,15,송내사거리-서 (동향),있음(비0),1196,B형 검토,0,0.0000
2026-03-22,일·공휴일,15,송내사거리-남 (북향),있음(비0),235,B형 검토,0,0.0000
2026-03-22,일·공휴일,15,송내사거리-북 (남향),있음(비0),728,B형 검토,0,0.0000
2026-03-22,일·공휴일,16,송내사거리-동 (서향),있음(비0),1073,B형 검토,0,0.0000
2026-03-22,일·공휴일,16,송내사거리-서 (동향),있음(비0),1205,B형 검토,0,0.0000
2026-03-22,일·공휴일,16,송내사거리-남 (북향),있음(비0),184,B형 검토,0,0.0000
2026-03-22,일·공휴일,16,송내사거리-북 (남향),있음(비0),701,B형 검토,0,0.0000
2026-03-22,일·공휴일,17,송내사거리-동 (서향),있음(비0),1073,B형 검토,0,0.0000
2026-03-22,일·공휴일,17,송내사거리-서 (동향),있음(비0),1176,B형 검토,0,0.0000
2026-03-22,일·공휴일,17,송내사거리-남 (북향),있음(비0),196,B형 검토,0,0.0000
2026-03-22,일·공휴일,17,송내사거리-북 (남향),있음(비0),683,B형 검토,0,0.0000
2026-03-22,일·공휴일,18,송내사거리-동 (서향),있음(비0),1024,B형 검토,0,0.0000
2026-03-22,일·공휴일,18,송내사거리-서 (동향),있음(비0),1162,B형 검토,0,0.0000
2026-03-22,일·공휴일,18,송내사거리-남 (북향),있음(비0),163,B형 검토,0,0.0000
2026-03-22,일·공휴일,18,송내사거리-북 (남향),있음(비0),690,B형 검토,0,0.0000
2026-03-22,일·공휴일,19,송내사거리-동 (서향),있음(비0),872,B형 검토,0,0.0000
2026-03-22,일·공휴일,19,송내사거리-서 (동향),있음(비0),1051,B형 검토,0,0.0000
2026-03-22,일·공휴일,19,송내사거리-남 (북향),있음(비0),118,B형 검토,0,0.0000
2026-03-22,일·공휴일,19,송내사거리-북 (남향),있음(비0),555,B형 검토,0,0.0000
2026-03-22,일·공휴일,20,송내사거리-동 (서향),있음(비0),716,B형 검토,0,0.0000
2026-03-22,일·공휴일,20,송내사거리-서 (동향),있음(비0),915,B형 검토,0,0.0000
2026-03-22,일·공휴일,20,송내사거리-남 (북향),있음(비0),109,B형 검토,0,0.0000
2026-03-22,일·공휴일,20,송내사거리-북 (남향),있음(비0),480,B형 검토,0,0.0000
2026-03-22,일·공휴일,21,송내사거리-동 (서향),있음(비0),645,B형 검토,0,0.0000
2026-03-22,일·공휴일,21,송내사거리-서 (동향),있음(비0),763,B형 검토,0,0.0000
2026-03-22,일·공휴일,21,송내사거리-남 (북향),있음(비0),101,B형 검토,0,0.0000
2026-03-22,일·공휴일,21,송내사거리-북 (남향),있음(비0),336,B형 검토,0,0.0000
2026-03-22,일·공휴일,22,송내사거리-동 (서향),있음(비0),493,B형 검토,0,0.0000
2026-03-22,일·공휴일,22,송내사거리-서 (동향),있음(비0),602,B형 검토,0,0.0000
2026-03-22,일·공휴일,22,송내사거리-남 (북향),있음(비0),60,B형 검토,0,0.0000
2026-03-22,일·공휴일,22,송내사거리-북 (남향),있음(비0),242,B형 검토,0,0.0000
2026-03-22,일·공휴일,23,송내사거리-동 (서향),있음(비0),320,B형 검토,0,0.0000
2026-03-22,일·공휴일,23,송내사거리-서 (동향),있음(비0),400,B형 검토,0,0.0000
2026-03-22,일·공휴일,23,송내사거리-남 (북향),있음(비0),47,B형 검토,0,0.0000
2026-03-22,일·공휴일,23,송내사거리-북 (남향),있음(비0),180,B형 검토,0,0.0000
