날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-01-01,일·공휴일,00,항동중학교입구3R-남(북향),있음(비0),80,B형 검토,0,0.0000
2026-01-01,일·공휴일,00,항동중학교입구3R-북(남향),있음(비0),28,B형 검토,2,0.6538
2026-01-01,일·공휴일,00,항동중학교입구3R-동(서향),있음(비0),24,B형 검토,2,0.6442
2026-01-01,일·공휴일,01,항동중학교입구3R-남(북향),있음(비0),83,B형 검토,0,0.0000
2026-01-01,일·공휴일,01,항동중학교입구3R-북(남향),있음(비0),18,B형 검토,2,0.6538
2026-01-01,일·공휴일,01,항동중학교입구3R-동(서향),있음(비0),23,B형 검토,2,0.6442
2026-01-01,일·공휴일,02,항동중학교입구3R-남(북향),있음(비0),51,B형 검토,0,0.0000
2026-01-01,일·공휴일,02,항동중학교입구3R-북(남향),있음(비0),15,B형 검토,2,0.6538
2026-01-01,일·공휴일,02,항동중학교입구3R-동(서향),있음(비0),9,B형 검토,2,0.6442
2026-01-01,일·공휴일,03,항동중학교입구3R-남(북향),있음(비0),27,B형 검토,0,0.0000
2026-01-01,일·공휴일,03,항동중학교입구3R-북(남향),있음(비0),8,B형 검토,2,0.6538
2026-01-01,일·공휴일,03,항동중학교입구3R-동(서향),있음(비0),4,B형 검토,2,0.6442
2026-01-01,일·공휴일,04,항동중학교입구3R-남(북향),있음(비0),40,B형 검토,0,0.0000
2026-01-01,일·공휴일,04,항동중학교입구3R-북(남향),있음(비0),13,B형 검토,2,0.6538
2026-01-01,일·공휴일,04,항동중학교입구3R-동(서향),있음(비0),10,B형 검토,2,0.6538
2026-01-01,일·공휴일,05,항동중학교입구3R-남(북향),있음(비0),38,B형 검토,0,0.0000
2026-01-01,일·공휴일,05,항동중학교입구3R-북(남향),있음(비0),21,B형 검토,2,0.6538
2026-01-01,일·공휴일,05,항동중학교입구3R-동(서향),있음(비0),5,B형 검토,2,0.6635
2026-01-01,일·공휴일,06,항동중학교입구3R-남(북향),있음(비0),66,B형 검토,0,0.0000
2026-01-01,일·공휴일,06,항동중학교입구3R-북(남향),있음(비0),20,B형 검토,2,0.6731
2026-01-01,일·공휴일,06,항동중학교입구3R-동(서향),있음(비0),11,B형 검토,2,0.6635
2026-01-01,일·공휴일,07,항동중학교입구3R-남(북향),있음(비0),58,B형 검토,0,0.0000
2026-01-01,일·공휴일,07,항동중학교입구3R-북(남향),있음(비0),16,B형 검토,2,0.6635
2026-01-01,일·공휴일,07,항동중학교입구3R-동(서향),있음(비0),14,B형 검토,2,0.6635
2026-01-01,일·공휴일,08,항동중학교입구3R-남(북향),있음(비0),127,B형 검토,0,0.0000
2026-01-01,일·공휴일,08,항동중학교입구3R-북(남향),있음(비0),24,B형 검토,2,0.6538
2026-01-01,일·공휴일,08,항동중학교입구3R-동(서향),있음(비0),30,B형 검토,2,0.6442
2026-01-01,일·공휴일,09,항동중학교입구3R-남(북향),있음(비0),168,B형 검토,0,0.0000
2026-01-01,일·공휴일,09,항동중학교입구3R-북(남향),있음(비0),25,B형 검토,2,0.6442
2026-01-01,일·공휴일,09,항동중학교입구3R-동(서향),있음(비0),41,B형 검토,2,0.6346
2026-01-01,일·공휴일,10,항동중학교입구3R-남(북향),있음(비0),206,B형 검토,0,0.0000
2026-01-01,일·공휴일,10,항동중학교입구3R-북(남향),있음(비0),35,B형 검토,2,0.6442
2026-01-01,일·공휴일,10,항동중학교입구3R-동(서향),있음(비0),47,B형 검토,2,0.6346
2026-01-01,일·공휴일,11,항동중학교입구3R-남(북향),있음(비0),257,B형 검토,0,0.0000
2026-01-01,일·공휴일,11,항동중학교입구3R-북(남향),있음(비0),36,B형 검토,2,0.6442
2026-01-01,일·공휴일,11,항동중학교입구3R-동(서향),있음(비0),75,B형 검토,2,0.6346
2026-01-01,일·공휴일,12,항동중학교입구3R-남(북향),있음(비0),257,B형 검토,0,0.0000
2026-01-01,일·공휴일,12,항동중학교입구3R-북(남향),있음(비0),35,B형 검토,2,0.6442
2026-01-01,일·공휴일,12,항동중학교입구3R-동(서향),있음(비0),72,B형 검토,2,0.6346
2026-01-01,일·공휴일,13,항동중학교입구3R-남(북향),있음(비0),284,B형 검토,0,0.0000
2026-01-01,일·공휴일,13,항동중학교입구3R-북(남향),있음(비0),37,B형 검토,2,0.6442
2026-01-01,일·공휴일,13,항동중학교입구3R-동(서향),있음(비0),74,B형 검토,2,0.6346
2026-01-01,일·공휴일,14,항동중학교입구3R-남(북향),있음(비0),277,B형 검토,0,0.0000
2026-01-01,일·공휴일,14,항동중학교입구3R-북(남향),있음(비0),40,B형 검토,2,0.6442
2026-01-01,일·공휴일,14,항동중학교입구3R-동(서향),있음(비0),86,B형 검토,2,0.6346
2026-01-01,일·공휴일,15,항동중학교입구3R-남(북향),있음(비0),233,B형 검토,0,0.0000
2026-01-01,일·공휴일,15,항동중학교입구3R-북(남향),있음(비0),52,B형 검토,2,0.6442
2026-01-01,일·공휴일,15,항동중학교입구3R-동(서향),있음(비0),81,B형 검토,2,0.6346
2026-01-01,일·공휴일,16,항동중학교입구3R-남(북향),있음(비0),297,B형 검토,0,0.0000
2026-01-01,일·공휴일,16,항동중학교입구3R-북(남향),있음(비0),35,B형 검토,2,0.6442
